quality,SSIM,AE,MAE,MEPP,MSE,PAE,PSNR,RMSE
72,0.957825, 104482, 1666.45, 5.52888e+08, 70.5687, 12336, 29.6786, 2150.52
73,0.959466, 104426, 1630.58, 5.40988e+08, 67.4402, 12336, 29.8755, 2102.31
74,0.961434, 104314, 1587.75, 5.26776e+08, 63.879, 12593, 30.1111, 2046.05
75,0.962839, 104239, 1552.99, 5.15245e+08, 61.1752, 11822, 30.299, 2002.28
76,0.964945, 103917, 1502.64, 4.98539e+08, 57.3126, 11051, 30.5822, 1938.04
77,0.966672, 103620, 1456.63, 4.83276e+08, 53.8273, 10280, 30.8547, 1878.18
78,0.968240, 103553, 1417.29, 4.70223e+08, 50.6482, 9766, 31.1191, 1821.88
79,0.969848, 103338, 1373.53, 4.55706e+08, 47.5711, 10794, 31.3913, 1765.67
80,0.971704, 103156, 1325.32, 4.39711e+08, 44.1904, 9509, 31.7115, 1701.77
81,0.973505, 102908, 1274.55, 4.22867e+08, 40.7597, 7710, 32.0624, 1634.38
82,0.975241, 102732, 1223.3, 4.05863e+08, 37.499, 7196, 32.4245, 1567.64
83,0.977068, 102436, 1173.43, 3.89317e+08, 34.3598, 6939, 32.8042, 1500.59
84,0.978734, 101804, 1115.75, 3.70178e+08, 31.1509, 7196, 33.23, 1428.8
85,0.980525, 101531, 1060.27, 3.51773e+08, 28.0707, 6425, 33.6822, 1356.32
86,0.982439, 100811, 998.389, 3.31242e+08, 24.9957, 6682, 34.1861, 1279.88
87,0.984225, 100543, 940.679, 3.12095e+08, 22.1406, 6425, 34.7128, 1204.57
88,0.986208, 99753, 877.498, 2.91133e+08, 19.2073, 5911, 35.3301, 1121.94
89,0.987972, 98841, 813.671, 2.69956e+08, 16.5319, 5140, 35.9815, 1040.87
90,0.989758, 97998, 743.46, 2.46662e+08, 13.7788, 4626, 36.7726, 950.261
91,0.991282, 96927, 679.593, 2.25473e+08, 11.4939, 4112, 37.56, 867.903
92,0.992886, 95385, 604.809, 2.00661e+08, 9.13663, 3598, 38.5569, 773.802
93,0.994232, 93319, 534.706, 1.77402e+08, 7.1862, 3341, 39.5997, 686.256
94,0.995648, 90474, 457.528, 1.51797e+08, 5.29664, 2827, 40.9247, 589.165
95,0.996808, 87099, 384.617, 1.27607e+08, 3.78233, 2313, 42.3871, 497.87
96,0.997894, 81143, 304.402, 1.00993e+08, 2.44216, 1799, 44.287, 400.059
97,0.998713, 72822, 228.842, 7.59242e+07, 1.44975, 1285, 46.5518, 308.236
98,0.999375, 56438, 145.987, 4.8435e+07, 0.692427, 1028, 49.761, 213.022
99,0.999790, 25238, 58.7285, 1.94847e+07, 0.230928, 514, 54.53, 123.02
100,0.999920, 10252, 23.8265, 7.90506e+06, 0.0934555, 514, 58.4587, 78.2599

