quality,SSIM,AE,MAE,MEPP,MSE,PAE,PSNR,RMSE
72,0.952124, 64240, 610.015, 1.79198e+08, 19.7661, 10280, 35.2055, 1138.14
73,0.953030, 63643, 600.157, 1.76302e+08, 19.0351, 9766, 35.3692, 1116.9
74,0.954493, 62616, 585.357, 1.71955e+08, 18.16, 8738, 35.5736, 1090.93
75,0.955363, 62638, 577.89, 1.69761e+08, 17.567, 8995, 35.7177, 1072.97
76,0.956819, 62055, 563.605, 1.65565e+08, 16.6314, 8481, 35.9554, 1044
77,0.958440, 61135, 549.786, 1.61505e+08, 15.752, 8995, 36.1914, 1016.03
78,0.959725, 60478, 537.532, 1.57905e+08, 14.9849, 8481, 36.4082, 990.976
79,0.960865, 60493, 526.965, 1.54801e+08, 14.2449, 7710, 36.6281, 966.2
80,0.962409, 59323, 510.808, 1.50055e+08, 13.4011, 7710, 36.8933, 937.145
81,0.963978, 59228, 497.245, 1.46071e+08, 12.5261, 6939, 37.1866, 906.034
82,0.965317, 58747, 482.048, 1.41606e+08, 11.6917, 7196, 37.486, 875.336
83,0.967001, 57576, 464.537, 1.36462e+08, 10.8278, 6682, 37.8193, 842.377
84,0.968493, 57350, 449.115, 1.31932e+08, 9.99127, 7196, 38.1685, 809.184
85,0.969920, 56915, 433.879, 1.27456e+08, 9.16902, 6682, 38.5415, 775.172
86,0.971430, 55322, 411.993, 1.21027e+08, 8.27512, 5654, 38.987, 736.417
87,0.973211, 55260, 395.799, 1.1627e+08, 7.47677, 6425, 39.4276, 699.993
88,0.975066, 54814, 376.151, 1.10498e+08, 6.65463, 5397, 39.9335, 660.387
89,0.976953, 54343, 355.792, 1.04518e+08, 5.86991, 5397, 40.4784, 620.23
90,0.978953, 52944, 331.226, 9.7301e+07, 5.04954, 5140, 41.1322, 575.258
91,0.980702, 52584, 311.208, 9.14206e+07, 4.36197, 3855, 41.7679, 534.66
92,0.982968, 51296, 284.884, 8.36874e+07, 3.61924, 3598, 42.5786, 487.018
93,0.985183, 50091, 259.428, 7.62095e+07, 2.96938, 3084, 43.4381, 441.133
94,0.987583, 48379, 230.303, 6.76537e+07, 2.31886, 2827, 44.512, 389.829
95,0.989928, 46186, 200.855, 5.90031e+07, 1.75699, 2056, 45.717, 339.33
96,0.992506, 42975, 165.334, 4.85684e+07, 1.20334, 1799, 47.3609, 280.822
97,0.994794, 38860, 129.844, 3.81429e+07, 0.764158, 1285, 49.3329, 223.784
98,0.996815, 31492, 89.6167, 2.63258e+07, 0.407717, 1028, 52.0611, 163.462
99,0.998450, 16300, 42.8176, 1.25781e+07, 0.1682, 514, 55.9065, 104.991
100,0.999074, 8435, 22.1384, 6.50338e+06, 0.0868174, 257, 58.7787, 75.4293

