quality,SSIM,AE,MAE,MEPP,MSE,PAE,PSNR,RMSE
68,0.952668, 96495, 550.587, 2.20728e+08, 12.2728, 8738, 37.2753, 896.826
69,0.953521, 96471, 545.846, 2.18828e+08, 12.0393, 8995, 37.3587, 888.255
70,0.954813, 96248, 538.571, 2.15911e+08, 11.6819, 7967, 37.4896, 874.969
71,0.955806, 82596, 506.461, 2.03038e+08, 11.2846, 7967, 37.6399, 859.963
72,0.956815, 82425, 500.532, 2.00661e+08, 11.0107, 7710, 37.7466, 849.462
73,0.957668, 82214, 494.876, 1.98394e+08, 10.7573, 7710, 37.8477, 839.63
74,0.959329, 76712, 475.621, 1.90674e+08, 10.3112, 7967, 38.0317, 822.036
75,0.959912, 76689, 471.682, 1.89095e+08, 10.1179, 7453, 38.1138, 814.294
76,0.961010, 76647, 464.13, 1.86068e+08, 9.76058, 7453, 38.27, 799.787
77,0.962685, 76915, 454.75, 1.82308e+08, 9.35846, 7710, 38.4527, 783.139
78,0.963702, 76688, 448.206, 1.79684e+08, 9.07034, 6939, 38.5885, 770.989
79,0.964800, 76523, 441.324, 1.76925e+08, 8.7686, 7453, 38.7354, 758.057
80,0.966034, 74899, 430.358, 1.72529e+08, 8.40392, 6939, 38.9199, 742.126
81,0.967675, 74775, 419.298, 1.68095e+08, 7.97651, 6939, 39.1466, 723.008
82,0.968903, 74394, 411.325, 1.64898e+08, 7.63162, 5911, 39.3386, 707.204
83,0.970242, 73496, 399.982, 1.60351e+08, 7.25994, 6682, 39.5554, 689.768
84,0.971611, 73105, 390.031, 1.56362e+08, 6.87762, 6168, 39.7904, 671.36
85,0.973083, 72622, 379.93, 1.52313e+08, 6.48721, 6168, 40.0442, 652.027
86,0.974716, 72029, 366.422, 1.46897e+08, 6.02983, 5140, 40.3617, 628.622
87,0.976215, 71656, 354.971, 1.42307e+08, 5.63008, 5397, 40.6596, 607.427
88,0.978048, 70497, 338.868, 1.35851e+08, 5.14362, 4369, 41.052, 580.592
89,0.979728, 69925, 325.185, 1.30365e+08, 4.70405, 3855, 41.44, 555.23
90,0.981648, 68762, 307.815, 1.23402e+08, 4.20159, 4112, 41.9306, 524.739
91,0.983488, 67880, 290.471, 1.16449e+08, 3.72834, 3855, 42.4496, 494.304
92,0.985505, 66858, 270.376, 1.08393e+08, 3.20942, 3341, 43.1005, 458.616
93,0.987548, 65364, 248.292, 9.95392e+07, 2.70247, 2827, 43.8471, 420.84
94,0.989834, 62981, 221.271, 8.87066e+07, 2.16565, 2570, 44.8089, 376.731
95,0.992006, 60416, 193.771, 7.76821e+07, 1.66754, 2313, 45.944, 330.579
96,0.994249, 56445, 160.16, 6.42073e+07, 1.16343, 1799, 47.5073, 276.126
97,0.996195, 50520, 124.781, 5.0024e+07, 0.740467, 1285, 49.4697, 220.287
98,0.997879, 40185, 84.4166, 3.38423e+07, 0.388485, 771, 52.271, 159.56
99,0.999103, 19495, 37.533, 1.50468e+07, 0.147505, 514, 56.4767, 98.3196
100,0.999517, 9068, 17.4395, 6.99143e+06, 0.0683902, 257, 59.8148, 66.9474

