quality,SSIM,AE,MAE,MEPP,MSE,PAE,PSNR,RMSE
68,0.961632, 72111, 464.02, 1.3631e+08, 8.66122, 7967, 38.7889, 753.401
69,0.962164, 71659, 459.028, 1.34844e+08, 8.47009, 8224, 38.8859, 745.042
70,0.963217, 71536, 452.335, 1.32878e+08, 8.18657, 7967, 39.0337, 732.466
71,0.964107, 71067, 444.671, 1.30627e+08, 7.93371, 7967, 39.17, 721.066
72,0.964900, 71117, 440.469, 1.29392e+08, 7.69845, 6939, 39.3007, 710.294
73,0.965570, 70750, 434.554, 1.27654e+08, 7.49756, 7453, 39.4155, 700.966
74,0.966950, 69953, 423.977, 1.24547e+08, 7.17108, 7967, 39.6089, 685.534
75,0.967408, 69896, 420.622, 1.23562e+08, 7.02569, 7967, 39.6978, 678.549
76,0.968281, 69474, 412.764, 1.21254e+08, 6.74563, 7196, 39.8745, 664.887
77,0.969560, 68918, 403.219, 1.1845e+08, 6.42552, 7453, 40.0856, 648.92
78,0.970412, 68586, 396.636, 1.16516e+08, 6.19316, 7196, 40.2456, 637.078
79,0.971315, 68387, 389.398, 1.14389e+08, 5.965, 6425, 40.4086, 625.233
80,0.972195, 67377, 379.834, 1.1158e+08, 5.68848, 5911, 40.6148, 610.569
81,0.973617, 66840, 369.078, 1.0842e+08, 5.37176, 5654, 40.8636, 593.328
82,0.974224, 66589, 362.939, 1.06617e+08, 5.14111, 5911, 41.0542, 580.45
83,0.975524, 66059, 353.063, 1.03716e+08, 4.84797, 5654, 41.3091, 563.659
84,0.976397, 65753, 344.457, 1.01188e+08, 4.57904, 6168, 41.557, 547.802
85,0.977276, 65403, 336.257, 9.8779e+07, 4.30398, 5654, 41.826, 531.094
86,0.978608, 64174, 323.331, 9.49818e+07, 3.99379, 4883, 42.1509, 511.599
87,0.979449, 63891, 314.906, 9.25069e+07, 3.73483, 4369, 42.442, 494.735
88,0.980755, 63276, 302.783, 8.89456e+07, 3.42, 4626, 42.8245, 473.423
89,0.981922, 62716, 291.797, 8.57182e+07, 3.13704, 3855, 43.1995, 453.415
90,0.983280, 61586, 277.695, 8.15757e+07, 2.82166, 3598, 43.6597, 430.021
91,0.984564, 60487, 264.021, 7.75587e+07, 2.53135, 3084, 44.1312, 407.299
92,0.985779, 59904, 250.693, 7.36436e+07, 2.23744, 3084, 44.6672, 382.924
93,0.987251, 58192, 233.541, 6.86051e+07, 1.92744, 3084, 45.3149, 355.408
94,0.988882, 56275, 214.224, 6.29306e+07, 1.60847, 2570, 46.1006, 324.671
95,0.990428, 53871, 193.774, 5.69229e+07, 1.32292, 2056, 46.9494, 294.444
96,0.992222, 50376, 167.612, 4.92376e+07, 1.00194, 1542, 48.1563, 256.246
97,0.994066, 45485, 139.13, 4.08707e+07, 0.720167, 1285, 49.5904, 217.247
98,0.995887, 37408, 104.06, 3.05686e+07, 0.455073, 771, 51.5839, 172.694
99,0.997992, 19514, 51.2793, 1.50638e+07, 0.201589, 514, 55.1201, 114.94
100,0.999074, 8915, 23.3982, 6.87346e+06, 0.0917578, 257, 58.5383, 77.5458

