quality,SSIM,AE,MAE,MEPP,MSE,PAE,PSNR,RMSE
85,0.952274, 81540, 689.842, 2.02648e+08, 13.877, 5911, 36.7418, 953.64
86,0.955482, 81140, 662.555, 1.94632e+08, 12.7851, 5140, 37.0977, 915.353
87,0.958538, 80608, 638.253, 1.87493e+08, 11.8449, 5654, 37.4294, 881.054
88,0.962233, 79903, 607.556, 1.78476e+08, 10.6658, 4883, 37.8848, 836.054
89,0.965315, 79362, 578.116, 1.69827e+08, 9.61046, 4883, 38.3373, 793.613
90,0.969049, 78444, 542.556, 1.59381e+08, 8.43422, 4112, 38.9043, 743.463
91,0.972481, 77601, 508.788, 1.49461e+08, 7.36604, 4112, 39.4924, 694.79
92,0.976076, 76606, 469.033, 1.37783e+08, 6.19135, 3341, 40.2469, 636.985
93,0.979943, 74825, 424.538, 1.24712e+08, 5.081, 3341, 41.1052, 577.047
94,0.983928, 72486, 372.894, 1.09541e+08, 3.93593, 2827, 42.2143, 507.879
95,0.987487, 69790, 322.402, 9.47089e+07, 2.95277, 2313, 43.4624, 439.897
96,0.991175, 65329, 262.338, 7.70645e+07, 1.98843, 1542, 45.1796, 360.987
97,0.994328, 58530, 201.451, 5.91781e+07, 1.23025, 1542, 47.2648, 283.945
98,0.997012, 45807, 132.101, 3.8806e+07, 0.613907, 1028, 50.2837, 200.58
99,0.998846, 21398, 56.2345, 1.65194e+07, 0.221104, 514, 54.7188, 120.375
100,0.999485, 9116, 23.9258, 7.02844e+06, 0.0938266, 257, 58.4415, 78.4151

